displacement,force
0.0,0.0
0.001,0.132464
0.002,0.263729
0.003,0.392421
0.004,0.516887
0.005,0.631322
0.00501,0.626121
0.00502,0.616784
0.00503,0.601607
0.00504,0.565656
0.00505,0.566197
0.00506,0.565979
0.00507,0.56619
0.00508,0.566865
0.00509,0.567614
0.0051,0.568574
0.00511,0.569546
0.00512,0.570524
0.00513,0.571504
0.00514,0.572482
0.00515,0.573458
0.00516,0.57443
0.00517,0.575396
0.00518,0.576357
0.00519,0.577312
0.0052,0.578262
0.00521,0.579205
0.00522,0.580142
0.00523,0.581073
0.00524,0.581997
0.00525,0.582914
0.00526,0.583807
0.00527,0.584476
0.00528,0.585262
0.00529,0.585988
0.0053,0.586743
0.00531,0.587493
0.00532,0.588241
0.00533,0.588983
0.00534,0.589711
0.00535,0.585892
0.00536,0.579191
0.00537,0.572635
0.00538,0.565814
0.00539,0.560399
0.0054,0.556424
0.00541,0.553001
0.00542,0.550372
0.00543,0.550259
0.00544,0.549871
0.00545,0.548902
0.00546,0.548283
0.00547,0.548867
0.00548,0.549227
0.00549,0.54958
0.0055,0.549954
0.00551,0.550357
0.00552,0.550686
0.00553,0.55106
0.00554,0.551439
0.00555,0.551101
0.00556,0.551496
0.00557,0.551888
0.00558,0.552475
0.00559,0.553067
0.0056,0.553653
0.00561,0.554239
0.00562,0.554264
0.00563,0.553874
0.00564,0.553307
0.00565,0.553017
0.00566,0.55153
0.00567,0.548648
0.00568,0.530392
0.00569,0.404755
0.0057,0.392928
0.00571,0.392195
0.00572,0.381101
0.00573,0.380158
0.00574,0.376766
0.00575,0.367892
0.00576,0.362397
0.00577,0.355899
0.00578,0.350003
0.00579,0.339907
0.0058,0.312353
0.00581,0.277159
0.00582,0.26377
0.00583,0.25131
0.00584,0.244986
0.00585,0.239099
0.00586,0.232866
0.00587,0.226364
0.00588,0.219558
0.00589,0.211155
0.0059,0.199619
0.00591,0.18619
0.00592,0.171602
0.00593,0.150723
0.00594,0.00350568
0.00595,0.00328938
